pid,timestamp,STEP#count#weekdays_morning,STEP#count#weekdays_afternoon,STEP#count#weekdays_evening,STEP#count#weekdays_night,STEP#count#weekends_morning,STEP#count#weekends_afternoon,STEP#count#weekends_evening,STEP#count#weekends_night
426,2021-11-07,,,,,,53.0,,
426,2021-11-07,,,,,,,229.0,
426,2021-11-08,74.0,,,,,,,
426,2021-11-08,,76.0,,,,,,
426,2021-11-08,,,1804.0,,,,,
426,2021-11-08,,,,36.0,,,,
426,2021-11-09,,174.0,,,,,,
426,2021-11-09,,,650.0,,,,,
426,2021-11-11,,,496.0,,,,,
426,2021-11-12,2061.0,,,,,,,
426,2021-11-12,,1436.0,,,,,,
426,2021-11-12,,,1999.0,,,,,
426,2021-11-13,,,,,50.0,,,
426,2021-11-13,,,,,,,,6.0
426,2021-11-14,,,,,,40.0,,
426,2021-11-14,,,,,,,4.0,
426,2021-11-15,1335.0,,,,,,,
426,2021-11-15,,,1412.0,,,,,
426,2021-11-18,135.0,,,,,,,
426,2021-11-18,,570.0,,,,,,
426,2021-11-18,,,2019.0,,,,,
426,2021-11-19,169.0,,,,,,,
426,2021-11-19,,731.0,,,,,,
426,2021-11-19,,,1025.0,,,,,
426,2021-11-19,,,,81.0,,,,
426,2021-11-20,,,,,,34.0,,
426,2021-11-21,,,,,1167.0,,,
426,2021-11-21,,,,,,796.0,,
426,2021-11-21,,,,,,,69.0,
426,2021-11-22,,,1732.0,,,,,
426,2021-11-24,,714.0,,,,,,
426,2021-11-24,,,1168.0,,,,,
426,2021-11-25,,,2308.0,,,,,
426,2021-11-27,,,,,2052.0,,,
426,2021-11-27,,,,,,1885.0,,
426,2021-11-27,,,,,,,88.0,
426,2021-11-28,,,,,,56.0,,
426,2021-11-28,,,,,,,31.0,
426,2021-11-29,,34.0,,,,,,
426,2021-11-29,,,1509.0,,,,,
426,2021-11-30,75.0,,,,,,,
426,2021-11-30,,,66.0,,,,,
426,2021-12-01,81.0,,,,,,,
426,2021-12-01,,1196.0,,,,,,
426,2021-12-01,,,1749.0,,,,,
426,2021-12-02,17.0,,,,,,,
426,2021-12-02,,1.0,,,,,,
426,2021-12-02,,,,22.0,,,,
426,2021-12-03,41.0,,,,,,,
426,2021-12-03,,1184.0,,,,,,
426,2021-12-03,,,1391.0,,,,,
426,2021-12-04,,,,,,73.0,,
426,2021-12-04,,,,,,,85.0,
426,2021-12-04,,,,,,,,1.0
426,2021-12-05,,,,,,,,13.0
426,2021-12-06,713.0,,,,,,,
426,2021-12-06,,566.0,,,,,,
426,2021-12-06,,,1293.0,,,,,
426,2021-12-07,,68.0,,,,,,
426,2021-12-07,,,1246.0,,,,,
426,2021-12-08,72.0,,,,,,,
426,2021-12-08,,1163.0,,,,,,
426,2021-12-08,,,1918.0,,,,,
426,2021-12-08,,,,9.0,,,,
426,2021-12-09,133.0,,,,,,,
426,2021-12-09,,1154.0,,,,,,
426,2021-12-09,,,1460.0,,,,,
426,2021-12-11,,,,,,28.0,,
426,2021-12-11,,,,,,,6.0,
426,2021-12-12,,,,,377.0,,,
426,2021-12-12,,,,,,615.0,,
426,2021-12-12,,,,,,,212.0,
426,2021-12-13,,,1533.0,,,,,
426,2021-12-14,423.0,,,,,,,
426,2021-12-14,,435.0,,,,,,
426,2021-12-15,5.0,,,,,,,
426,2021-12-15,,,1617.0,,,,,
426,2021-12-16,21.0,,,,,,,
426,2021-12-16,,968.0,,,,,,
426,2021-12-16,,,2594.0,,,,,
426,2021-12-18,,,,,27.0,,,
426,2021-12-18,,,,,,36.0,,
426,2021-12-18,,,,,,,131.0,
426,2021-12-19,,,,,51.0,,,
426,2021-12-19,,,,,,426.0,,
426,2021-12-19,,,,,,,,85.0
430,2021-09-10,1310.0,,,,,,,
430,2021-09-10,,24.0,,,,,,
430,2021-09-10,,,1697.0,,,,,
430,2021-09-11,,,,,41.0,,,
430,2021-09-11,,,,,,1500.0,,
430,2021-09-12,,,,,,806.0,,
430,2021-09-13,1147.0,,,,,,,
430,2021-09-13,,967.0,,,,,,
430,2021-09-13,,,1348.0,,,,,
430,2021-09-14,1662.0,,,,,,,
430,2021-09-14,,1327.0,,,,,,
430,2021-09-14,,,1642.0,,,,,
430,2021-09-15,6256.0,,,,,,,
430,2021-09-15,,3212.0,,,,,,
430,2021-09-16,2328.0,,,,,,,
430,2021-09-16,,2967.0,,,,,,
430,2021-09-16,,,1523.0,,,,,
430,2021-09-17,1344.0,,,,,,,
430,2021-09-17,,2127.0,,,,,,
430,2021-09-17,,,1447.0,,,,,
430,2021-09-18,,,,,63.0,,,
430,2021-09-18,,,,,,153.0,,
430,2021-09-18,,,,,,,411.0,
430,2021-09-18,,,,,,,,534.0
430,2021-09-19,,,,,55.0,,,
430,2021-09-19,,,,,,2380.0,,
430,2021-09-19,,,,,,,790.0,
430,2021-09-20,,322.0,,,,,,
430,2021-09-20,,,890.0,,,,,
430,2021-09-20,,,,44.0,,,,
430,2021-09-21,,2.0,,,,,,
430,2021-09-22,556.0,,,,,,,
430,2021-09-22,,1975.0,,,,,,
430,2021-09-22,,,2.0,,,,,
430,2021-09-22,,,,2206.0,,,,
430,2021-09-23,1732.0,,,,,,,
430,2021-09-23,,978.0,,,,,,
430,2021-09-23,,,520.0,,,,,
430,2021-09-23,,,,38.0,,,,
430,2021-09-24,428.0,,,,,,,
430,2021-09-24,,1072.0,,,,,,
430,2021-09-24,,,1612.0,,,,,
430,2021-09-25,,,,,38.0,,,
430,2021-09-25,,,,,,1660.0,,
430,2021-09-25,,,,,,,677.0,
430,2021-09-26,,,,,,2507.0,,
430,2021-09-26,,,,,,,13.0,
430,2021-09-26,,,,,,,,3.0
430,2021-09-27,1674.0,,,,,,,
430,2021-09-27,,2098.0,,,,,,
430,2021-09-27,,,1413.0,,,,,
430,2021-09-28,3344.0,,,,,,,
430,2021-09-28,,862.0,,,,,,
430,2021-09-28,,,2042.0,,,,,
430,2021-09-29,445.0,,,,,,,
430,2021-09-29,,2083.0,,,,,,
430,2021-09-29,,,32.0,,,,,
430,2021-09-30,1571.0,,,,,,,
430,2021-09-30,,1718.0,,,,,,
430,2021-09-30,,,1808.0,,,,,
