pid,timestamp,UNLOCK_STATE#unlock_count#weekdays_morning,UNLOCK_STATE#total_duration#weekdays_morning,UNLOCK_STATE#unlock_count#weekdays_afternoon,UNLOCK_STATE#total_duration#weekdays_afternoon,UNLOCK_STATE#unlock_count#weekdays_evening,UNLOCK_STATE#total_duration#weekdays_evening,UNLOCK_STATE#unlock_count#weekdays_night,UNLOCK_STATE#total_duration#weekdays_night,UNLOCK_STATE#unlock_count#weekends_morning,UNLOCK_STATE#total_duration#weekends_morning,UNLOCK_STATE#unlock_count#weekends_afternoon,UNLOCK_STATE#total_duration#weekends_afternoon,UNLOCK_STATE#unlock_count#weekends_evening,UNLOCK_STATE#total_duration#weekends_evening,UNLOCK_STATE#unlock_count#weekends_night,UNLOCK_STATE#total_duration#weekends_night
700,2022-01-31,,,,,11.0,10435.981,,,,,,,,,,
700,2022-02-01,7.0,9845.476,,,,,,,,,,,,,,
700,2022-02-01,,,5.0,24250.031,,,,,,,,,,,,
700,2022-02-01,,,,,4.0,11102.885999999999,,,,,,,,,,
700,2022-02-01,,,,,,,3.0,18593.311999999998,,,,,,,,
700,2022-02-02,1.0,26732.008,,,,,,,,,,,,,,
700,2022-02-02,,,5.0,13803.896,,,,,,,,,,,,
700,2022-02-02,,,,,5.0,2623.545,,,,,,,,,,
700,2022-02-02,,,,,,,4.0,17902.574,,,,,,,,
700,2022-02-03,2.0,13466.777,,,,,,,,,,,,,,
700,2022-02-03,,,9.0,1388.715,,,,,,,,,,,,
700,2022-02-03,,,,,9.0,16413.067000000003,,,,,,,,,,
700,2022-02-03,,,,,,,3.0,8515.41,,,,,,,,
700,2022-02-04,13.0,3297.8030000000003,,,,,,,,,,,,,,
700,2022-02-04,,,19.0,89395.387,,,,,,,,,,,,
700,2022-02-04,,,,,,,6.0,16736.085,,,,,,,,
700,2022-02-05,,,,,,,,,,,,,4.0,15387.534,,
700,2022-02-06,,,,,,,,,,,,,,,3.0,1644.209
713,2021-11-01,,,,,1.0,30.074,,,,,,,,,,
713,2021-11-02,10.0,4560.254000000001,,,,,,,,,,,,,,
713,2021-11-02,,,14.0,1568.635,,,,,,,,,,,,
713,2021-11-02,,,,,16.0,9233.867,,,,,,,,,,
713,2021-11-03,5.0,4305.536,,,,,,,,,,,,,,
713,2021-11-03,,,16.0,1662.1509999999998,,,,,,,,,,,,
713,2021-11-03,,,,,21.0,15374.453999999998,,,,,,,,,,
713,2021-11-04,11.0,6047.072999999999,,,,,,,,,,,,,,
713,2021-11-04,,,12.0,7741.039,,,,,,,,,,,,
713,2021-11-04,,,,,10.0,16766.739,,,,,,,,,,
713,2021-11-04,,,,,,,0.0,0.0,,,,,,,,
713,2021-11-05,,,6.0,1065.9690000000003,,,,,,,,,,,,
713,2021-11-05,,,,,14.0,17794.326,,,,,,,,,,
713,2021-11-06,,,,,,,,,4.0,5232.87,,,,,,
713,2021-11-06,,,,,,,,,,,7.0,18606.743,,,,
713,2021-11-06,,,,,,,,,,,,,15.0,18769.644,,
713,2021-11-06,,,,,,,,,,,,,,,0.0,0.0
713,2021-11-07,,,,,,,,,3.0,6706.438999999999,,,,,,
713,2021-11-07,,,,,,,,,,,50.0,9553.364,,,,
713,2021-11-07,,,,,,,,,,,,,11.0,11203.188,,
713,2021-11-07,,,,,,,,,,,,,,,0.0,0.0
713,2021-11-08,15.0,3925.035,,,,,,,,,,,,,,
713,2021-11-08,,,13.0,1215.8990000000001,,,,,,,,,,,,
